ItemID,ItemName,Category,Price,Quantity, Destination
IP20PM,Iphone 20 Pro Max,Electronics,55000000,10,Ho Chi Minh 
INK01,Printer ink,Consumables,850000,30,Ho Chi Minh 
LG-MON,LG monitor,Damaged items,4500000,2, Ha Noi
GS30U,Galaxy S30 Ultra,Electronics,48000000,12,Japan
MBM10,Macbook M10,Electronics,85000000,5,Ho Chi Minh
KG01,Kho Ga de tem,Food and Drink,150000,100, Cao Bang
VNM15,Vinamilk no Sugar 1.5Litre,Food and Drink,45000,15,Ha Noi
CHR01,Chair,Furniture,1200000,20,Phu Yen
TBL01,Table,Furniture,3500000,10,Nghe An
BKC01,Bookcase,Furniture,5000000,8,Ha Noi
T3M,Tape 3M,Consumables,25000,500,Nha Trang
BATT01,Batteries,Consumables,15000,1000,Nam Dinh
G-MOUSE,Gaming mouse,Damaged items,1200000,5, Tay Ninh
