ItemID,ItemName,Category,Price,Quantity
IP20PM,Iphone 20 Pro Max,Electronics,55000000,10
INK01,Printer ink,Consumables,850000,30
T3M,Tape 3M,Consumables,25000,500
BATT01,Batteries,Consumables,15000,1000
LG-MON,LG monitor,Damaged items,4500000,2
G-MOUSE,Gaming mouse,Damaged items,1200000,5
M-OUTFIT,Maid outfit,Damaged items,500000,10
GS30U,Galaxy S30 Ultra,Electronics,48000000,12
MBM10,Macbook M10,Electronics,85000000,5
KG01,Kho Ga,Food and Drink,150000,100
VC01,Vegetable Candy,Food and Drink,50000,200
VNM15,Vinamilk no Sugar 1.5Litre,Food and Drink,45000,150
CHR01,Chair,Furniture,1200000,20
TBL01,Table,Furniture,3500000,10
BKC01,Bookcase,Furniture,5000000,8
